"TEXT","cEXT","cNEU","cAGR","cCON","cOPN"
"I'm feeling somewhere between anxious and energized. I have so much work to do and part of me is worried about that, but another part is taking it calmly and doing my work in a medium pace. Hmmm, right now I don't feel very overwhelmed, I mean, for sure I must be, but somehow I am taking it easy. I think it means that I have achieve a certain level of self-control. I guess. I mean, I'm in the middle of what i could call 'a good part' of my life, talking about other areas apart from academic. Talking about physical sensations... this abscence of visible signs of anxiety is an indicator of my self-control. i guess. But I'm not sure of what moments brought me to this level.","y","y","n","n","y"
"Somewhat tired but eager to finish my work or try my best. Hmmm... I guess I am kinda motivated lately. Not a lot though. But, days are better this year. I mean, now I've got a boyfriend, that is definitely something new. Erm, everything? Haha, well, obviously not everything, but somehow I have no complaints. I had complicated rlationships before, but this one is very peaceful, i must say. We both have a sense of emotional responsibility and are often trying to treat the other like they deserve. Actually, is there is something I can rescue from all my previous relationships, especially this one, is that during our best moments, my relationship withmy parents changes positively, which means  lot as we haven't been always in good terms. But also, surprisingly, I'm improving the way I treat my friends, he sometimes makes me apologize with them or makes me think about things I say or do, to be a better person. Erm, I guess he just asks me to do those things, calmly. Also, he comforts me when i'm not feeling well about some things, and thakes me feel better about everything. Definitely, I think so, in that way he is such a positive influence. He is not perfect though. But, as I said, so far, I have no complaints. We both can improve our faults.","y","n","y","y","y"
"I’m feeling a bit stressed out lately. Well, work has been really demanding, and I feel like I’m not keeping up. I guess it's the deadlines and the constant pressure to perform. I usually try to plan ahead, but lately, it hasn’t been working as well. Maybe I need to find better ways to cope with stress and improve my time management.","n","y","n","y","n"
"Me siento emocionada y un poco ansiosa porque estoy preparándome para una entrevista de pasantía en una empresa de tecnología que admiro. Estoy emocionada por la posibilidad de aprender de profesionales en el campo de la tecnología y aplicar mis habilidades en un entorno práctico. Me gustaría hablar sobre cómo gestionar los nervios y destacar mis fortalezas durante la entrevista.","y","n","y","n","n"
"I’m pretty good, just a bit overwhelmed with my studies. It's mostly the amount of work and the upcoming exams. I try to stick to a schedule and take breaks, but sometimes it's hard to keep up. Sometimes I get distracted by social media or feel too tired to study effectively.","y","y","n","y","n"
"Estoy bien, solo un poco preocupado por algunos problemas personales. Sí, estoy teniendo algunas dificultades con mi familia. Sí, hay desacuerdos constantes sobre cosas pequeñas que se han vuelto muy tensos. Trato de mantener la calma y hablar las cosas, pero a veces es difícil.","n","y","n","y","n"
"I’m feeling quite happy and relaxed today. I spent the day with my friends, and we had a great time. We just talked and laughed a lot, and it was nice to unwind. Yes, definitely. Being around my friends always makes me feel better.","y","n","y","n","n"
"Estoy un poco triste, la verdad. Sí, tuve una discusión con un amigo cercano. No fue nada grave, pero siento que he perdido su confianza. No estoy seguro, pero creo que necesito hablar con él y aclarar las cosas.","n","y","y","y","n"
"Me siento reflexiva porque estoy explorando opciones para mi proyecto de tesis y quiero asegurarme de elegir algo que realmente me apasione. Me interesa la psicología educativa y estoy considerando investigar cómo las estrategias de enseñanza afectan el aprendizaje de los estudiantes adolescentes. Espero contribuir al campo de la educación y desarrollar habilidades de investigación que sean útiles en mi carrera como psicóloga educativa.","y","n","y","n","n"
"I'm feeling pretty anxious today. I've got a big presentation at work tomorrow, and I'm really nervous about it. It's mostly the fear of messing up in front of everyone. I'm not very confident in my public speaking skills. Yes, I've always been anxious about speaking in front of groups. I usually try to practice a lot, but the nerves always get to me. I've tried deep breathing and visualization, but they only help a little bit.","n","y","n","n","n"
"Estoy un poco preocupado por el trabajo. Sí, hay un proyecto importante que tengo que terminar pronto y no estoy seguro si podré cumplir con la fecha límite. Intento hacer una lista de tareas y priorizar lo más importante, pero a veces me siento abrumado y no sé por dónde empezar. Quizás podría dividir las tareas en partes más pequeñas y manejables. Podría intentar tomar más descansos cortos para despejarme y mantener la concentración.","n","y","n","y","n"
"I'm feeling quite content today, actually. I spent the day outdoors, hiking with my family. It was really refreshing. I loved the fresh air and the beautiful scenery. It was also great to spend quality time with my family without any distractions. It's very important to me. Being with my family always lifts my spirits and gives me a sense of grounding. I think I'll try to make more time for family activities and spend more time outdoors.","y","n","y","n","y"
"Estoy bien, pero un poco agotado. Es principalmente el trabajo. He estado trabajando muchas horas últimamente. Trato de mantener un horario regular y tomar descansos cuando puedo, pero a veces es difícil desconectar. Podría intentar establecer límites más claros entre el trabajo y mi tiempo personal. Sí, me gusta leer y salir a caminar, pero últimamente no he tenido mucho tiempo para esas cosas.","n","y","n","y","n"
"I'm feeling pretty excited about a new project I'm starting. It's a combination of things. The project itself is really interesting, and I'm also looking forward to collaborating with a new team. I love the creative freedom I have with this project. I get to experiment with new ideas and approaches. I'm thinking of using some new tools and techniques that I've been wanting to explore. I think it will help me expand my skill set and gain more confidence in my abilities.","y","n","y","y","y"
"Me siento motivado porque estoy participando en actividades extracurriculares y conociendo nuevas culturas en mi universidad de intercambio. Estoy involucrado en un club de idiomas y también he participado en eventos culturales organizados por estudiantes internacionales. Me siento más conectado con la comunidad universitaria. Estas experiencias me han ayudado a mejorar mis habilidades lingüísticas y a desarrollar una mayor apreciación por la diversidad cultural. Espero seguir creciendo en estas áreas durante mi tiempo aquí.","y","n","y","n","n"
"I'm feeling pretty stressed out. It's mainly work. I've been given a lot of responsibilities lately, and it's overwhelming. I've been put in charge of a major project, and I'm also handling a lot of daily tasks that I used to share with my team. I try to prioritize and stay organized, but it feels like there's just too much to do and not enough time. I think I need to delegate more, but I feel guilty about asking others for help. They'd probably be willing to help, but I don't want to burden them with my tasks. We have regular meetings, but I tend to keep my concerns to myself. I guess I could bring it up in our next meeting and see how they feel about it.","n","y","n","y","n"
"Estoy un poco confundido con algunas decisiones que tengo que tomar. Es sobre mi carrera. No estoy seguro si debería cambiar de trabajo o quedarme donde estoy. Siento que no estoy creciendo profesionalmente y que no se valoran mis esfuerzos. No, no he hablado con nadie al respecto. No sé si sería útil. No estoy seguro, pero creo que podría intentarlo. Me gustaría tener un rol con más responsabilidades y oportunidades para aprender nuevas habilidades. Podría empezar buscando esas oportunidades en mi trabajo actual, y si no funciona, considerar un cambio.","n","n","y","y","n"
"I'm feeling pretty excited and a bit nervous. Yes, I'm about to start a new job, and it's a big change for me. I'm excited about the new challenges and opportunities for growth. It's a step up in my career. I'm worried about fitting in with the new team and meeting their expectations. I try to be open and friendly, but it takes me some time to feel comfortable in a new setting. I could try to get to know them better and find common interests. Maybe join them for lunch or team activities. I think it will provide me with valuable experience and help me achieve my career goals.","y","n","y","y","y"
"Me siento un poco abrumado con todo lo que tengo que hacer. Sí, tengo muchas responsabilidades en el trabajo y en casa, y siento que no tengo tiempo para todo. Intento hacer una lista de tareas y priorizar, pero a veces me siento paralizado por la cantidad de cosas que tengo que hacer. Podría intentar delegar algunas tareas en casa y en el trabajo. Sí, creo que mi pareja y mis compañeros de trabajo estarían dispuestos a ayudarme si se los pido. Podría intentar hacer más ejercicio y tomarme más tiempo para relajarme. Me gusta caminar y leer, pero últimamente no he tenido mucho tiempo para hacerlo.","n","y","n","y","n"
"Estoy un poco estresado con los exámenes finales, pero bien en general. Principalmente el tiempo y la cantidad de material que debo repasar. Parece que nunca es suficiente. Intento organizar mis apuntes y hacer resúmenes, pero a veces siento que me falta concentración. Quizás tomar descansos más cortos entre sesiones de estudio y hacer ejercicios de relajación. También estoy pensando en mi futuro profesional y las decisiones que debo tomar después de la universidad. No estoy seguro de qué área especializarme o si debería buscar trabajo directamente después de graduarme. Sí, he pensado en eso. Creo que sería útil obtener diferentes perspectivas antes de tomar una decisión.","n","y","n","y","n"
"Me siento un poco agobiado con todos los proyectos y tareas pendientes de la universidad. Tengo un proyecto grande de programación y varios ensayos que entregar pronto. Siento que no voy a llegar a tiempo con todo. Estoy intentando priorizar y dedicar tiempo cada día a trabajar en cada tarea. A veces me cuesta mantener la motivación. Tal vez establecer metas más pequeñas y celebrar los logros parciales. También estoy pensando en mis opciones después de la universidad y la presión de encontrar un buen trabajo. Me gustaría encontrar un trabajo donde pueda aplicar mis habilidades de programación y también aprender más sobre inteligencia artificial.","n","y","n","y","n"
"Hoy me siento un poco abrumado por las expectativas académicas y personales. Siento la presión de obtener buenas notas en mis clases y también de cumplir con las expectativas de mi familia sobre mi futuro. Intento mantenerme organizado y seguir un horario estricto de estudio, pero a veces siento que no es suficiente. Tal vez hablar más abiertamente con mi familia sobre mis metas y expectativas podría ayudar a aliviar la presión. Creo que podrían entenderme mejor y apoyarme en mis decisiones académicas y profesionales. También estoy considerando buscar actividades extracurriculares que me ayuden a mantener un equilibrio entre el estudio y el tiempo libre.","n","y","n","y","n"
"Me siento un poco perdido con mi carrera universitaria y qué camino tomar después de graduarme. No estoy seguro si elegí la especialización correcta y qué oportunidades de trabajo podrían estar disponibles para mí después de graduarme. Sí, he pensado en eso, pero todavía me siento indeciso sobre cuál sería el mejor camino para mí. Me gustaría trabajar en un campo que me apasione y donde pueda hacer una diferencia positiva en la sociedad. Creo que buscar oportunidades de prácticas y participar en actividades extracurriculares relacionadas con mis intereses podrían ser pasos iniciales. También quiero mejorar mis habilidades de networking y construir una red de contactos profesionales que puedan guiarme en mi carrera.","y","n","y","n","n"
"Me siento emocionado porque estoy explorando nuevos hobbies como la fotografía y la cocina. Siempre me han interesado capturar momentos especiales y experimentar con sabores y recetas creativas. Me parece una forma de expresión muy personal. En la fotografía, estoy aprendiendo a jugar con la luz y la composición para transmitir emociones. En la cocina, estoy disfrutando experimentando con ingredientes y técnicas culinarias. Me gustaría mejorar mis habilidades técnicas en ambos campos y quizás compartir mis creaciones con amigos y familiares.","y","n","y","n","n"
"Me siento feliz porque finalmente terminé de leer un libro que me había propuesto hace tiempo. Leí 'Cien años de soledad' de Gabriel García Márquez. Siempre me han fascinado las obras que exploran la historia y cultura latinoamericanas. Me encantó cómo la narrativa mezcla lo mágico con lo realista y cómo reflexiona sobre temas universales como el amor y la soledad. Me hizo apreciar más la riqueza cultural de América Latina y me inspiró a explorar más literatura de la región y sus contextos históricos.","y","n","y","n","n"
"Me siento un poco estresado por un proyecto de voluntariado que estoy coordinando para recaudar fondos para una causa social. Quiero hacer una diferencia positiva en mi comunidad y apoyar a quienes más lo necesitan. El estrés viene de la responsabilidad de asegurarme de que todo salga bien. Estoy delegando tareas y manteniendo una comunicación abierta con los voluntarios, pero a veces siento que hay demasiadas cosas por hacer. Tal vez establecer metas más realistas y recordarme a mí mismo por qué me involucré en esta causa en primer lugar.","n","y","n","y","n"
"Estoy emocionado porque estoy planeando un viaje con amigos para el próximo mes. Vamos a hacer un road trip por varias ciudades de Perú. Estoy emocionado por explorar nuevas culturas y paisajes impresionantes. Me emociona la idea de crear recuerdos increíbles juntos y compartir aventuras que recordaremos durante años. Estoy un poco nervioso por la planificación logística y asegurarme de que todos estemos en la misma página con los planes.","n","y","n","y","n"
"Me siento optimista porque he comenzado a aprender un nuevo idioma y estoy disfrutando el proceso. Estoy aprendiendo francés porque siempre me ha fascinado la cultura y la historia francesa. Quiero poder viajar y comunicarme con fluidez. Me siento más conectado con la comunidad francófona y estoy emocionado por las posibilidades que este idioma abrirá en mi vida personal y profesional. Me encanta aprender nuevas palabras y expresiones idiomáticas. Planeo practicar regularmente y tal vez estudiar en un país francófono en el futuro.","y","n","y","n","n"
"Me siento emocionado porque estoy aprendiendo a tocar la guitarra y cada día me siento más conectado con la música. Siempre he amado la música y la guitarra me permite expresarme de una manera única. Me ha ayudado a relajarme y a mejorar mi concentración. Disfruto especialmente aprendiendo nuevas canciones y experimentando con diferentes estilos musicales. Me siento motivado por cada avance que hago. Espero poder compartir mi música con otros y quizás formar parte de una banda en el futuro.","y","n","y","n","n"
